Species,trName,presentInGardnerTree,tip,position,node,distUp,justification,reference,notes,Higher_taxon,Region,Comments.corrections,deleteReason,sequenced_gall_inducers,comments_ar
Quercus_pumila,Quercus_elliottii,x,,,,NA,,,,Quercus_section_Lobatae,Nearctic,,,check,retain
Quercus_pungens,Quercus_pungens,x,,,,NA,,,,Quercus_section_Quercus,Nearctic,,,y,retain
Quercus_pyrenaica,Quercus_pyrenaica,x,,,,NA,,,,Quercus_section_Quercus,Western Palearctic,,,y,retain
Quercus_resinosa,Quercus_resinosa,x,,,,NA,,,,Quercus_section_Quercus,Nearctic,,,y,retain
Quercus_robur,Quercus_robur,x,,,,NA,,,,Quercus_section_Quercus,Western Palearctic,,,y,retain
Quercus_rubra,Quercus_rubra,x,,,,NA,,,,Quercus_section_Lobatae,Nearctic,,,y,retain
Quercus_rugosa,Quercus_rugosa,x,,,,NA,,,,Quercus_section_Quercus,Nearctic,,,y,retain
Quercus_sadleriana,Quercus_sadleriana,x,,,,NA,,,,Quercus_section_Ponticae,Nearctic,,,y,retain
Quercus_salicifolia,Quercus_salicifolia,x,,,,NA,,,,Quercus_section_Lobatae,Nearctic,,,y,retain
Quercus_salicina,Quercus_salicina,x,,,,NA,,,,Quercus_subgenus_Cyclobalanopsis,Eastern Palearctic and Oriental,,,y,retain
Quercus_sapotifolia,Quercus_sapotifolia,x,,,,NA,,,,Quercus_section_Lobatae,Nearctic,This species is not needed,DELETE - No associated gallwasps - the correct synonym for the species with gall records named Q. bumelioides is Q. copeyensis,n,delete
Quercus_serrata,Quercus_serrata,x,,,,NA,,,,Quercus_section_Quercus,Eastern Palearctic and Oriental,,,y,retain
Quercus_sessilifolia,Quercus_sessilifolia,x,,,,NA,,,,Quercus_subgenus_Cyclobalanopsis,Eastern Palearctic and Oriental,,,y,retain
Quercus_shumardii,Quercus_shumardii,x,,,,NA,,,,Quercus_section_Lobatae,Nearctic,,,y,retain
Quercus_sinuata,Quercus_sinuata,x,,,,NA,,,,Quercus_section_Quercus,Nearctic,,,y,retain
Quercus_spinosa,Quercus_spinosa,x,,,,NA,,,,Quercus_section_Ilex,Eastern Palearctic and Oriental,,,y,retain
Quercus_splendens,Quercus_splendens,,Quercus_splendens,base of clade spanning Q. laeta and Q. pedunculairs,Quercus_laeta|Quercus_peduncularis,0,unpublished RAD-seq data; position still uncertain,,,Quercus_section_Quercus,Nearctic,Quercus peduncularis,,y,retain
Quercus_stellata,Quercus_stellata,x,,,,NA,,,,Quercus_section_Quercus,Nearctic,,,y,retain
Quercus_suber,Quercus_suber,x,,,,NA,,,,Quercus_section_Cerris,Western Palearctic,,,y,retain
Quercus_tarokoensis,Quercus_tarokoensis,x,,,,NA,,,,Quercus_section_Ilex,Eastern Palearctic and Oriental,,,y,retain
Quercus_texana,Quercus_texana,x,,,,NA,,,,Quercus_section_Lobatae,Nearctic,,,check,retain
Quercus_tomentella,Quercus_tomentella,x,,,,NA,,,,Quercus_section_Protobalanus,Nearctic,,,y,retain
Quercus_toumeyi,Quercus_toumeyi,x,,,,NA,,,,Quercus_section_Quercus,Nearctic,,,y,retain
Quercus_trojana,Quercus_trojana,x,,,,NA,,,,Quercus_section_Cerris,Western Palearctic,,,y,retain
Quercus_turbinella,Quercus_turbinella,x,,,,NA,,,,Quercus_section_Quercus,Nearctic,,,y,retain
Quercus_undata,Quercus_undata,,Quercus_undata,Q. chihuahuensis or Q. grisea,Quercus_chihuahuensis|Quercus_grisea,0,"Based on Trelease's description and photo, it looks to me closest to Q. grisea. Helardot refers to it as a hybrid between Q. chihuahuensis and Q. arizonica or Q. grisea, but I don't see anything to push it toward Q. arizonica.",Trelease 1924; http://oaks.of.the.world.free.fr/quercus_undata.htm,,Quercus_section_Quercus,Nearctic,,,y,retain
Quercus_vacciniifolia,Quercus_vacciniifolia,x,,,,NA,,,,Quercus_section_Protobalanus,Nearctic,Denk et al spell it Q. vaccinifolia - mistakenly it looks like,,y,retain
Quercus_variabilis,Quercus_variabilis,x,,,,NA,,,,Quercus_section_Cerris,Eastern Palearctic and Oriental,,,y,retain
Quercus_varians,Quercus_polymorpha,x,,,,NA,,http://oaknames.org/search/fullname.asp?id=2724,,Quercus_section_Cerris,Eastern Palearctic and Oriental,,,y,retain
Quercus_velutina,Quercus_velutina,x,,,,NA,,,,Quercus_section_Lobatae,Nearctic,,,y,retain
Quercus_virginiana,Quercus_virginiana,x,,,,NA,,,,Quercus_section_Virentes,Nearctic,,,y,retain
Quercus_wislizeni,Quercus_wislizeni,x,,,,NA,,,,Quercus_section_Lobatae,Nearctic,,,y,retain
Quercus_wutaishanica,Quercus_wutaishanica,x,Quercus_wutaishanica,sister to Q. mongolica,Quercus_mongolica,2,synonym,,,Quercus_section_Quercus,Eastern Palearctic and Oriental,,,y,retain
Querus_muehlenbergii,Quercus_muehlenbergii,x,,,,NA,,,,Quercus_section_Quercus,Nearctic,Quercus muehlenbergii,,y,retain
Quercus_copeyensis,Quercus_copeyensis,x,,,,NA,,,,Quercus_section_Quercus,Nearctic,"there were 7 species from Panama in Frazer’s spreadsheet that in our database were listed as coming from Q. bumelioides. As with the case above for Coffeikokkos copeyensis, the name Q. bumelioides in this case is a synonym for Q. copeyensis.",,y,retain
Quercus_eduardi,Quercus_eduardi,x,,,,NA,,,,Quercus_section_Lobatae,Nearctic,,,y,retain
Quercus_frutex,Quercus_frutex,x,,,,NA,,,,Quercus_section_Quercus,Nearctic,,,y,retain
Quercus_insignis,Quercus_insignis,x,,,,NA,,,,Quercus_section_Quercus,Nearctic,,,y,retain
Quercus_lancifolia,Quercus_lancifolia,x,,,,NA,,,,Quercus_section_Quercus,Nearctic,,,y,retain
